epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.913,1.23117,1.40027,1.12842,0.92731,0.89021,0.90652,0.57978,1.19346,0.79072,1.14194,0.003332,0.003332,0.003332
2,578.273,1.22132,0.79442,1.12205,0.95447,0.89658,0.93438,0.61447,1.16991,0.66343,1.13036,0.00653336,0.00653336,0.00653336
3,827.095,1.25437,0.77627,1.16008,0.94085,0.88403,0.92603,0.60481,1.22114,0.71196,1.18889,0.00960272,0.00960272,0.00960272
4,1071.53,1.26469,0.76285,1.17951,0.95496,0.88565,0.93653,0.62129,1.2207,0.6578,1.16838,0.009406,0.009406,0.009406
5,1330.49,1.22942,0.7047,1.15799,0.97868,0.89795,0.94789,0.64004,1.17344,0.59233,1.13568,0.009208,0.009208,0.009208
6,1589.34,1.20408,0.6706,1.14763,0.9618,0.91025,0.95058,0.64695,1.15371,0.5758,1.14363,0.00901,0.00901,0.00901
7,1845.61,1.19024,0.65162,1.13509,0.97752,0.91129,0.95075,0.65259,1.15596,0.54185,1.10583,0.008812,0.008812,0.008812
8,2105.07,1.18145,0.63249,1.1321,0.97319,0.92756,0.95738,0.6581,1.14478,0.53985,1.12495,0.008614,0.008614,0.008614
9,2362.76,1.16288,0.61018,1.11817,0.97672,0.92164,0.95707,0.66505,1.13214,0.51989,1.10182,0.008416,0.008416,0.008416
10,2622.46,1.15335,0.59462,1.11039,0.9751,0.93121,0.96236,0.6764,1.1179,0.48835,1.09614,0.008218,0.008218,0.008218
11,2881.01,1.14786,0.58505,1.11092,0.96758,0.92528,0.95713,0.65674,1.1418,0.49972,1.10643,0.00802,0.00802,0.00802
12,3139.92,1.13174,0.57712,1.10306,0.97664,0.93347,0.96149,0.67292,1.10795,0.48727,1.09476,0.007822,0.007822,0.007822
13,3399.16,1.12932,0.5667,1.10056,0.97513,0.92897,0.96564,0.67704,1.1074,0.47918,1.08928,0.007624,0.007624,0.007624
14,3661.25,1.12608,0.55935,1.09086,0.98155,0.93212,0.96475,0.68176,1.09294,0.46803,1.07594,0.007426,0.007426,0.007426
15,3920.38,1.12201,0.55323,1.09336,0.98461,0.93278,0.96776,0.68644,1.08843,0.4565,1.07375,0.007228,0.007228,0.007228
16,4179.7,1.11623,0.54814,1.08573,0.97727,0.9385,0.96718,0.68696,1.0876,0.44938,1.06922,0.00703,0.00703,0.00703
17,4438.25,1.11244,0.53934,1.08238,0.98743,0.93212,0.96883,0.68771,1.08297,0.44186,1.06197,0.006832,0.006832,0.006832
18,4697.12,1.10549,0.53655,1.08175,0.98198,0.93804,0.97166,0.68949,1.08046,0.4299,1.07323,0.006634,0.006634,0.006634
19,4955.79,1.09737,0.52599,1.07876,0.98319,0.93257,0.96895,0.69318,1.07427,0.43118,1.06757,0.006436,0.006436,0.006436
20,5214.45,1.0966,0.52028,1.07729,0.98293,0.93941,0.97087,0.69564,1.07105,0.43163,1.05801,0.006238,0.006238,0.006238
21,5473.57,1.0866,0.51503,1.06944,0.98154,0.93804,0.97275,0.69757,1.07056,0.42073,1.05838,0.00604,0.00604,0.00604
22,5732.15,1.08499,0.51199,1.06816,0.98362,0.93986,0.97263,0.69643,1.06605,0.41539,1.05216,0.005842,0.005842,0.005842
23,5992.05,1.07327,0.50296,1.06633,0.9847,0.93854,0.97226,0.70183,1.05846,0.4062,1.05392,0.005644,0.005644,0.005644
24,6250.53,1.07427,0.50233,1.06649,0.98661,0.93998,0.97261,0.70357,1.05338,0.40375,1.051,0.005446,0.005446,0.005446
25,6511.89,1.06976,0.49605,1.06213,0.98364,0.94761,0.97303,0.69967,1.06331,0.40375,1.05626,0.005248,0.005248,0.005248
26,6773.78,1.06596,0.48958,1.05877,0.98897,0.93943,0.97335,0.70373,1.06259,0.3971,1.05134,0.00505,0.00505,0.00505
27,7036.21,1.06355,0.48766,1.05559,0.98438,0.94396,0.97307,0.70291,1.06148,0.39645,1.04941,0.004852,0.004852,0.004852
